trade_date,open,high,low,close,vol,turnover_rate,volume_ratio,pe,pb,ps,total_mv,dv_ratio,trade_date,adj_factor,open_hfq,open_qfq,close_hfq,close_qfq,high_hfq,high_qfq,low_hfq,low_qfq,pre_close_hfq,pre_close_qfq,macd_dif,macd_dea,macd,kdj_k,kdj_d,kdj_j,rsi_6,rsi_12,rsi_24,boll_upper,boll_mid,boll_lower,cci
2022-01-17,4.67,4.7,4.64,4.65,1787226.62,0.0663,0.98,5.2461,0.5883,1.8776,165728909.5464,5.7204,20220117,1.971,9.20457,4.11653,9.16515,4.0989,9.2637,4.14298,9.14544,4.09009,9.22428,4.12535,0.014,0.016,-0.003,42.635,61.867,4.172,31.915,43.594,47.924,4.197,4.124,4.051,-59.78
2022-01-18,4.65,4.7,4.63,4.69,2169500.22,0.0805,1.16,5.2913,0.5933,1.8937,167154534.5747,5.6717,20220118,1.971,9.16515,4.0989,9.24399,4.13416,9.2637,4.14298,9.12573,4.08127,9.16515,4.0989,0.013,0.015,-0.005,41.757,55.164,14.943,48.673,51.853,52.141,4.195,4.128,4.06,-40.347
2022-01-19,4.67,4.71,4.66,4.7,1729131.75,0.0641,0.88,5.3026,0.5946,1.8978,167510940.8318,5.6596,20220119,1.971,9.20457,4.11653,9.2637,4.14298,9.28341,4.15179,9.18486,4.10772,9.24399,4.13416,0.012,0.015,-0.004,43.393,51.24,27.7,52.202,53.702,53.131,4.196,4.13,4.064,-12.073
2022-01-20,4.7,4.76,4.69,4.75,3131274.49,0.1161,1.61,5.359,0.6009,1.918,169292972.1173,5.6,20220120,1.971,9.2637,4.14298,9.36225,4.18705,9.38196,4.19587,9.24399,4.13416,9.2637,4.14298,0.015,0.015,0.001,55.596,52.692,61.403,66.162,61.72,57.698,4.203,4.135,4.067,72.131
2022-01-21,4.73,4.74,4.69,4.7,1735280.7,0.0644,0.78,5.3026,0.5946,1.8978,167510940.8318,5.6596,20220121,1.971,9.32283,4.16942,9.2637,4.14298,9.34254,4.17824,9.24399,4.13416,9.36225,4.18705,0.014,0.015,-0.001,52.619,52.668,52.522,48.992,51.912,52.373,4.203,4.137,4.071,7.692
2022-01-24,4.7,4.72,4.68,4.7,1418871.3,0.0526,0.67,5.3026,0.5946,1.8978,167510940.8318,5.6596,20220124,1.971,9.2637,4.14298,9.2637,4.14298,9.30312,4.16061,9.22428,4.12535,9.2637,4.14298,0.013,0.014,-0.003,50.635,51.99,47.925,48.992,51.912,52.373,4.203,4.139,4.075,-31.452
2022-01-25,4.69,4.7,4.67,4.67,1703836.68,0.0632,0.84,5.2687,0.5908,1.8857,166441722.0606,5.6959,20220125,1.971,9.24399,4.13416,9.20457,4.11653,9.2637,4.14298,9.20457,4.11653,9.2637,4.14298,0.01,0.013,-0.007,42.646,48.875,30.186,40.018,46.622,49.395,4.202,4.139,4.077,-86.316
2022-01-26,4.66,4.7,4.66,4.69,1189948.14,0.0441,0.61,5.2913,0.5933,1.8937,167154534.5747,5.6717,20220126,1.971,9.18486,4.10772,9.24399,4.13416,9.2637,4.14298,9.18486,4.10772,9.20457,4.11653,0.009,0.012,-0.008,43.815,47.189,37.068,47.684,50.305,51.321,4.203,4.14,4.077,-67.987
2022-01-27,4.68,4.71,4.66,4.68,1436955.02,0.0533,0.78,5.28,0.5921,1.8897,166798128.3177,5.6838,20220127,1.971,9.22428,4.12535,9.22428,4.12535,9.28341,4.15179,9.18486,4.10772,9.24399,4.13416,0.007,0.011,-0.009,42.031,45.469,35.153,44.288,48.481,50.322,4.202,4.141,4.079,-59.477
2022-01-28,4.68,4.73,4.66,4.66,2210438.8,0.082,1.48,5.2574,0.5895,1.8816,166085315.8035,5.7082,20220128,1.971,9.22428,4.12535,9.18486,4.10772,9.32283,4.16942,9.18486,4.10772,9.22428,4.12535,0.004,0.01,-0.012,35.713,42.217,22.704,37.823,44.925,48.357,4.2,4.142,4.083,-52.981
